date;respo;broker;address;ville;code_postal;asset_type;surface;surface_loue;occupancy_rate;name_rent;name_owner;annual_rent;annual_rent_sqm;annual_rent_sqm_pot;annual_rent_pot;price;prix_m2;surface_office
;EHB;Ilan FEINSOHN (Nexity);55 route de saint leu;Epinay sur Seine;93800;Light Industrial;3369;0;0%;;;;;75;252675;3300000;980;
;CDU;PE Maury (Cordell);4 rue Alphonse XIII;Paris;75016;Housing;1210;0;0,00%;;;;;;;13000000;10742;
;CDU;Yann Giboire (CYRE);2 rue Androuet;Paris;75018;Housing;238;0;0,00%;;;;;;;2400000;10067;
;CDU;Leboncoin;30 rue Greuze;Paris;75016;Housing;553;553;100,00%;;;253559;459;;253559;5950000;10759;
;CDU;Arthur Rodriguez (CBRE);1 route de Mesnil saint Denis ;Coignères;78310;Light Industrial;11634;0;0%;;;;;50;581700;7562100;650;
;EHB;Charles Albert (BNPRE);Avenue de Norvège  Avenue de la Baltique;Courtaboeuf / les Ulis;91940;Light Industrial;7019;0;0%;;;;;104;729976;9100000;1296;
;EHB;Arthur Rodriguez;6 rue de la fosse aux leux;Ste Geneviève des Bois;91700;Light Industrial;13613;0;0%; Biocoop;;;;40;544520;6500000;477;
;EHB;Charles Albert (BNPRE);24 rue Condorcet;Chennevières;94430;Light Industrial;1947;1947;100%;;;101645;52;52;101244;1000000;514;
;EHB;Charles Albert (BNPRE);Rue de l'Ormeteau;Servon;77170;Light Industrial;6592;6592;100%;;;398313;60;60;395520;5300000;804;
;EHB;Lucas Belaid (Evolis);1 Rue diderot rue jean jacque rousseau;Grigny;91350;Light Industrial;6150;6150;100%;;;186000;30;40;246000;2800000;455;
;CDU;Arnaud VETO (EOL);ZAC du Noyer aux Perdrix;Servon;77170;Light Industrial;867;423;49%;;;46515;110;100;86700;1131700;1305;
;CDU;Jérôme Mainguy (Strategim Partner);11 rue Benjamin Raspail;Malakoff;92240;Office;1840;400;22%; Studio;;41000;103;180;331200;2800000;1522;
;GRO ;Olivia RIVIERE (CORPIMMO);104 rue D'Aguesseau ;Boulogne Billancourt;92100;Office;96;0;0%;;;;;;;860000;;
;EHB;Anthony Garcia (Groupe Babylone);39 rue Fessart ;Boulogne-Billancourt;92100;Office;350;0;0%;;;;;278;97440;2500000;7143;
;EHB;NS Property International;17 rue Mauconseil ;Fontenay sous bois;94120;Housing;445;390;#VALEUR!;;;84948;191;;;1700000;3829;
;EHB;Charles Albert (BNP) ;5 rue Maximilien Robespierre;Noisy le Sec;93130;Light Industrial;2105;2105;100%;" Aerologis; Bocker France";;149237;71;85;178925;2100000;998;
;;Arthur Rodriguez (CBRE);rue de l'Ormeteau;Servon;77170;Light Industrial;9384;0;0%;;;;;;;3900000;;
;;Antoine guicheteau (Nexity);4 rue des Gardes;Verrières le Buisson;91370;Light Industrial;865;558;65%;;;19200;34;90;77850;885000;1023;
;;Jerôme Richard (JRPI);31-39 rue Saint Denis;Aubervilliers;93300;Light Industrial;5700;1000;18%;;;96000;96;90;513000;8000000;1404;
;;Olivier Yazdani (FdL);10 rue Joseph et Etienne Montgolfier ;Rosny-Sous-Bois;93110;Light Industrial;3247;0;0%;;;;;90;292194;2100000;647;
;;Arthur Rodriguez (CBRE);12 Avenue du Garigliano;Savigny sur Orge;91600;Light Industrial;7102;0;0%;;;;;45;319590;3700000;521;
;CDU;Charles Albert (BNPRE);27/29 et 32-34 rue du Ballon;Noisy-le-Grand;93160;Light Industrial;12720;12720;100%; CPI Global;;580000;46;46;578760;5937000;467;
;;Lucien Renaudin (COGIB);15 bis rue de Paris;Meudon;92190;Housing;565;0;0%;;;;;;;3120000;5522;
;;Frédéric Bazil (DBX);14 avenue de l’Europe;Bussy-Saint-Georges;77600;Light Industrial;5069;2803;55%;;;141244;50;50;253450;3100000;612;
;EHB;Mathieu Fourdan (BNPRE);9/11 rue henri dunant;Bondoufle;91070;Light Industrial;3633;0;0%;;;;;65;236145;3200000;881;
;EHB;Jérôme Mainguy;1 place Copernic;Courcouronnes;91080;Office;5598;5598;100%; Carrefour Banque; Fonds Israélien;1142621;204;200;1142621;12000000;2144;
;EHB;Guilhem HUTTNER;103 Boulevard Chanzy;Montreuil;93100;Retail;280;280;100%; Kiloutou;;42960;153;150;42000;650000;2321;
;EHB;François Xavier d'Alençon;82 rue de Pixérécourt;Paris;75020;Office;1175;1175;100,00%; Cesap;;225000;191;260;305500;4600000;3915;
;EHB;Geoffroy d'Arche;20 rue Jean Baptiste Pigalle;Paris;75009;Office;323;323;100,00%; Domino Assist;;100000;310;400;129200;1750000;5418;
;EHB;Matias Jerome;9 Villa Pierre Ginier;Paris;75018;Office;994;994;100,00%; Dyson;;258918;260;450;447300;5900000;5936;
;EHB;Pierric Antoine;19 rue du Bois Cerdon;Valenton;94460;Light Industrial;1050;0;0%;;;;;75;78750;1350000;1286;
;EHB;Pascal Dezellus;18 rue des Carrières;Montmorency;95160;Housing;2112;1599;76%;;;256999;161;160;337920;7500000;3551;
;EHB;Jerome Mainguy;7 Avenue Spinoza;Ivry-sur-Seine;94200;Light Industrial;620;0;0%;;;;;150;93000;1300000;2097;
;EHB;Charles Albert;2 Avenue des Gros Chevaux;Saint Ouen L'Aumone;95310;Light Industrial;2491;1871;75%;;;81600;44;45;112095;1400000;562;
;EHB;Alexis Madec;25 Rue du Cuivre ;Savigny-le-Temple;77176;Light Industrial;5700;5700;100%;;;;;40;228000;2050000;360;
;EHB;Aurélien Rosset;72 rue René Alazard;Bagnolet;93170;Office;1000;0;0%;;;;;160;160000;2500000;2500;
;CDU;Gabriel Richert;49-51 rue de Stalingrad;Nanterre;92000;Office;1458;0;0%;;;;;180;262440;4600000;3155;
;EHB;Julien Mateos;112 rue de Paris;Boulogne;92100;Office;864;94;11%;;;35225;375;380;328320;4500000;5208;
;EHB;Seraphin Bravard;12 rue Carnot;Groslay;95410;Light Industrial;2464;0;0%;;;;;90;221760;3200000;1299;
;EHB;Charles Albert;1015 rue du Marechal Juin;Vaux Le Penil;77000;Light Industrial;5000;3600;72%;;;273281;76;65;325000;2500000;500;
;EHB;Antoine Guicheteau;Rue Luigi Galvani;Antony;92160;Light Industrial;897;0;0%;;;;;80;71760;850000;948;
