date;visite;respo;statut;broker;address;ville;code_postal;asset_type;surface;surface_loue;name_rent;name_owner;annual_rent;annual_rent_sqm;annual_rent_sqm_pot;annual_rent_pot;price;taux;prix_m2
11/15/18;non;EHB;4;DL REAL ESTATE;6 Avneue Evariste Gallois;Savigny sur Orge;91600;Commerce;3050;1550;;;121792;79;80;244000;2600000;0;852
15/11/2018;non;EHB;3;Julien Badene;23 rue Emile Zola;Montreuil;93100;Bureaux & Commerce;2610;2610;IDI;IDI;360000;138;130;339300;4000000;0;1533
11/14/18;non;EHB;0;Jerome Matias (bnpre);"163 – 165 AVENUE
CHARLES DE GAULLE";Neuilly-sur-Seine;92200;Bureaux ;1680;1500;;;570363;380;380;638400;12500000;0;7440
11/13/18;non;ZK;3;;28 avenue Albert 1er;Saint maur des fossés;94100;Logements;1470;;;;;;;;1900000;;1293
11/13/18;non;ZK;3;Axel  Useldinger;28 Avenue Albert 1er ;Saint maur des fossés;94100;Logements;2050;;;;;;;;1900000;;
11/13/18;non;EHB;3;Nancy Bizet;48 Rue Paul Lescop,;Nanterre;92000;Commerce;4033;1523;Electrolab;privé;80000;53;80;280800;2600000;0;645
11/12/18;non;EHB;4;Charles Albert;79 rue Rateau ;La Courneuve;93120;Commerce;2325;1829;;;182961;100;100;232500;2500000;0;1075
11/12/18;non;EHB;4;Simon-Pierre Richard (JLL);305 rue de la Belle Etoile ;ROISSY-EN-France;95700;Bureaux ;7795;4735;OCP Repartition;;351499;74;70;545650;6000000;0;770
11/9/18;non;ZK;5;Mickael Younes;36-40 Rue rasapail ;Levallois Perret;92300;Bureaux ;4267;0;-;AEW;0;0;350;1493450;30000000;0;7031
11/7/18;non;EHB;5;Stephane CRESTEY (CW);Portefeuille Blois;;;Commerce;12131;11997;;;756499;63;60;727860;10000000;0;824
11/7/18;non;EHB;3;Charles Albert;15 route de Fontainebleau;VITRY-SUR-SEINE;94400;Bureaux ;7620;4235;;;595160;141;140;1066800;12000000;0;1575
11/5/18;non;EHB;4;charles Albert;Parc des Vergers ;Tigery;91250;Commerce;2286;2286;;Alsei;186248;81;80;182880;2600000;0;1137
11/5/18;non;CDU;3;;75 rue Lecourbe ;75015 Paris;75015;Bilan;;;;;;;;;;;
11/2/18;non;EHB;3;Alexandre Filipe (Scamac);6 avenue Jean Jaurès;Montrouge;92120;Logements;340;;;;;;;;2210000;;6500
11/2/18;non;EHB;5;Alexandre Filipe (Scamac); 7 rue Danton;Montrouge;92120;Commerce;144;144;SAS HOKKAIDO;;27360;191;190;27265;450000;0;3136
10/30/18;non;EHB;3;Paolo Salzani (Colliers);3 rue des Gaudines;Saint Germain en Laye;78100;Bureaux ;5332;2300;Pall;;345000;150;150;799800;6300000;0;1182
10/29/18;non;EHB;5;Charles Albert;10 rue du chêne à champagne;Fleury Mérogis;91170;Commerce;841;841;Fleurform;;81292;97;80;67280;1000000;0;1189
10/29/18;non;EHB;5;Charles Albert;9 rue du chêne à champagne;Fleury Mérogis;91170;Commerce;690;330;Bazar fleury;;26565;81;80;55200;800000;0;1159
10/29/18;non;EHB;5;Charles Albert;1 rue Jules Guesde ;Ris Orangis;91130;Bureaux ;1550;775;E-mir;;72229;93;80;124000;800000;0;516
10/25/18;non;ZK;3;Jérémie SENIOR ( Babylone);53 boulevard de la République;Chatou;78400;Bureaux ;2209;0;;;0;0;100;220900;2800000;0;1268
10/25/18;non;EHB;4;Mathieu Fourdan (BNPRE);9/11 rue henri dunant;Bondoufle;91070;Bureaux ;3633;0;;;;;65;236145;3200000;0;881
10/23/18;non;EHB;4;Guilhem HUTTNER;45 rue Delizy;Pantin;93500;Bureaux ;3428;2739;Fitness park et Sand fabrik (type arkose);;320000;117;105;359940;4000000;0;1167
10/23/18;non;EHB;4;Antoine Guicheteau;6 Allée Jean Monnet;Collegien;77090;Bureaux ;2793;0;;;;;69;192717;2350000;0;841
10/22/18;non;ZK;3;"Thibault De la baronniere
Groupe Babylone";8 rue de la Tour Carrée;Vémars;95470;Entrepot;1179;1179;TIP;;310154;263;;612500;1050000;-CBI- TRI 5.2%;
10/22/18;non;EHB;4;Enguerrand de Villette (CBRE);13 BOULEVARD DES MARTYRS DE CHATEAUBRIANT ;Argenteuil;95100;Bureaux ;1615;1615;Office Depot;;106231;66;65;104975;1250000;0;774
10/22/18;non;EHB;4;Enguerrand de Villette (CBRE);29 Boulevard du Général Delambre;Bezons;95870;Bureaux ;1300;0;;;;;100;130000;1800000;0;1385
10/20/18;non;EHB;4;Mikael Nataf;2 Allée des Performances ;Noisy le Grand;93160;Bureaux ;2600;0;;;;;65;169000;2620000;0;1008
10/19/18;non;EHB;3;Jerome Mainguy;11 rue jean Mazet;Ivry-sur-Seine;94200;Bureaux ;7088;0;;LFPI;;;180;1275840;21000000;0;2963
10/18/18;non;ZK;5;Azoulay Igal;8 Rue Edouard Delamare Deboutteville;Thiais;94320;Terrain;48890;-;;;;;;;6000000;;
